area;u_18;18_24;25_34;35_44;45_54;55_64;65_74;o_75;pop;White;Black;Native;Asian;Hawaiian;Other;2_or_more;Hispanic;Non_Hispanic;;;
26100;26,1;12,8;11,7;12,6;14,2;10,9;6,3;5,5;263.801;90,08;1,47;0,43;2,55;0,03;3,41;2,02;8,63;91,37;;;
26180;22,1;10,3;14,1;13,1;13,8;12,0;7,2;7,3;953.207;20,85;2,02;0,26;43,89;9,53;1,10;22,35;8,12;91,88;;;
26300;20,9;7,6;10,8;11,4;14,0;14,3;11,3;9,6;96.024;86,40;7,93;0,61;0,72;0,05;1,98;2,31;4,81;95,19;;;
26380;25,4;10,3;13,6;12,9;14,9;11,1;6,7;5,1;208.178;74,47;16,28;4,35;0,89;0,04;2,00;1,97;3,88;96,12;;;
26420;28,0;9,6;15,1;14,5;14,0;10,3;5,1;3,5;5.946.800;60,22;17,25;0,64;6,54;0,06;12,27;3,02;35,30;64,70;;;
26580;21,5;9,2;12,4;13,0;14,4;13,4;8,9;7,3;287.702;94,81;2,71;0,23;0,58;0,02;0,24;1,43;0,94;99,06;;;
26620;23,8;9,9;13,2;13,5;16,0;11,4;7,0;5,2;417.593;70,59;21,74;0,74;2,20;0,10;2,30;2,33;4,79;95,21;;;
26820;32,3;8,4;14,5;11,5;12,6;10,1;5,8;4,8;130.374;90,70;0,49;0,76;0,74;0,08;5,25;1,97;11,16;88,84;;;
26900;26,2;8,9;14,2;14,1;14,8;10,9;6,0;4,9;1.756.241;77,02;15,00;0,27;2,25;0,04;3,23;2,18;6,16;93,84;;;
26980;20,6;19,4;16,3;11,5;12,0;10,4;5,2;4,7;152.586;87,08;4,23;0,22;4,52;0,04;1,75;2,15;4,81;95,19;;;
27060;16,4;26,2;13,5;10,2;11,8;11,1;5,6;5,1;101.564;82,65;3,96;0,35;8,60;0,04;1,16;3,24;4,20;95,80;;;
27100;23,2;9,3;11,6;13,2;15,6;12,9;7,4;6,7;160.248;87,68;7,95;0,37;0,71;0,02;0,76;2,51;3,02;96,98;;;
27140;26,1;10,0;14,0;13,0;14,2;11,4;6,3;5,0;539.057;49,06;47,68;0,17;1,05;0,04;1,10;0,91;2,11;97,89;;;
27180;23,9;11,7;12,3;12,3;14,3;12,0;7,3;6,1;115.425;63,46;32,23;0,22;0,85;0,03;1,72;1,49;3,16;96,84;;;
27260;23,8;9,6;13,4;13,6;15,2;12,2;6,9;5,2;1.345.596;69,89;21,77;0,39;3,43;0,09;1,82;2,62;6,90;93,10;;;
27340;25,3;23,0;16,3;10,5;10,2;7,3;4,5;3,0;177.772;74,02;15,57;0,70;1,89;0,27;3,19;4,36;10,07;89,93;;;
27500;25,1;8,6;12,6;13,3;15,0;11,8;7,2;6,4;160.331;87,64;4,98;0,32;1,02;0,02;3,71;2,31;7,56;92,44;;;
27620;23,6;9,7;13,1;13,3;15,3;12,4;6,8;5,9;149.807;88,82;7,44;0,36;0,86;0,05;0,78;1,68;2,12;97,88;;;
27740;20,2;10,5;11,9;13,2;14,6;13,4;9,2;7,0;198.716;93,35;2,82;0,27;0,84;0,02;1,17;1,51;2,63;97,37;;;
27780;19,7;9,3;10,5;12,0;15,3;14,4;8,8;10,0;143.679;94,10;3,63;0,10;0,51;0,02;0,41;1,22;1,40;98,60;;;
27860;24,9;12,1;13,8;12,5;12,9;11,0;7,2;5,7;121.026;82,97;11,91;0,33;0,93;0,03;2,16;1,67;3,98;96,02;;;
27900;25,7;9,9;12,9;12,3;13,8;11,5;7,6;6,4;175.518;88,60;1,54;1,78;1,10;0,46;3,38;3,15;6,02;93,98;;;
28020;23,4;13,3;12,8;12,0;14,0;11,9;6,7;5,9;326.589;82,91;9,30;0,53;1,69;0,03;2,39;3,15;5,42;94,58;;;
28100;25,3;10,2;12,5;12,5;14,3;11,8;7,0;6,4;113.449;77,56;15,15;0,25;0,93;0,03;3,97;2,12;8,96;91,04;;;
28140;25,6;8,3;14,0;13,5;14,9;11,6;6,4;5,6;2.035.334;78,45;12,50;0,51;2,27;0,16;3,34;2,76;8,19;91,81;;;
28420;29,4;9,4;14,1;12,6;13,2;11,0;5,8;4,5;253.340;75,66;1,46;0,83;2,42;0,14;16,06;3,43;28,70;71,30;;;
28660;28,1;12,3;16,9;12,9;12,2;8,7;5,0;3,8;405.300;64,24;19,56;0,82;2,56;0,77;7,14;4,91;20,34;79,66;;;
